ID,region,tenure,age,marital,address,income,ed,retire,gender,voice,internet,forward,custcat,churn,churn_event,monthly_revenue,monthly_margin,CLV_60_months,survival_probability_12m,churn_risk_12m,CLV_12_months,valuable_customer,at_risk_customer,valuable_and_at_risk
1,Zone 2,13,44,Married,9,64,College degree,No,Male,No,No,Yes,Basic service,Yes,1,25,16.25,617.0162673594488,0.902984562245622,0.09701543775437804,175.61670694340208,False,False,False
2,Zone 3,11,33,Married,7,136,Post-undergraduate degree,No,Male,Yes,No,Yes,Total service,Yes,1,60,39.0,1481.2569368043999,0.9042839146248999,0.09571608537510012,421.9503771139128,True,False,False
3,Zone 3,68,52,Married,24,116,Did not complete high school,No,Female,No,No,No,Plus service,No,0,45,29.25,1330.1922045699268,0.9815579273482222,0.018442072651777774,330.1906891489974,True,False,False
4,Zone 2,33,33,Unmarried,12,33,High school degree,No,Female,No,No,No,Basic service,Yes,1,25,16.25,551.9474803509764,0.8451460775060665,0.15485392249393348,169.2858110519405,False,False,False
5,Zone 2,23,30,Married,9,30,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,45,29.25,1162.671634971561,0.9222156637975187,0.07778433620248126,319.4727008219506,True,False,False
6,Zone 2,41,39,Unmarried,17,78,High school degree,No,Female,No,No,No,Plus service,No,0,45,29.25,1204.9922127318864,0.9373547830083382,0.06264521699166181,322.1710992060192,True,False,False
7,Zone 3,45,22,Married,2,19,High school degree,No,Female,No,Yes,No,E-service,Yes,1,35,22.75,764.692256201086,0.8407622410718953,0.15923775892810466,236.35297727450006,False,False,False
8,Zone 2,38,35,Unmarried,5,76,High school degree,No,Male,Yes,Yes,Yes,Total service,No,0,60,39.0,1214.2176318640911,0.8037789748336388,0.1962210251663612,395.51205908393507,True,True,True
9,Zone 3,45,59,Married,7,166,College degree,No,Male,No,No,Yes,Plus service,No,0,45,29.25,1295.2196973950222,0.9703999332719467,0.029600066728053265,328.20685336195965,True,False,False
10,Zone 1,68,41,Married,21,72,Did not complete high school,No,Male,No,No,No,E-service,No,0,35,22.75,1014.863681393173,0.9730116400812487,0.02698835991875126,255.61665918663368,False,False,False
11,Zone 2,5,33,Unmarried,10,125,College degree,No,Female,No,Yes,No,Basic service,Yes,1,25,16.25,362.0265286005917,0.635252064047215,0.364747935952785,145.2202197632528,False,True,False
12,Zone 3,7,35,Unmarried,14,80,High school degree,No,Female,Yes,No,Yes,Plus service,No,0,45,29.25,1065.4931296446503,0.8869618572624651,0.11303814273753487,313.57516131532327,True,False,False
13,Zone 1,41,38,Married,8,37,High school degree,No,Female,No,No,No,Basic service,No,0,25,16.25,605.4581984691953,0.8896887191204647,0.11031128087953535,174.02621180088363,False,False,False
14,Zone 2,57,54,Married,30,115,College degree,No,Female,Yes,Yes,Yes,Total service,Yes,1,60,39.0,1687.4158731879186,0.9594438254336702,0.04055617456632976,434.92855553433236,True,False,False
15,Zone 2,9,46,Unmarried,3,25,Did not complete high school,No,Female,No,No,No,Basic service,No,0,25,16.25,528.3296671383573,0.8267329137787293,0.17326708622127074,167.5559947813847,False,True,False
16,Zone 1,29,38,Married,12,75,Post-undergraduate degree,No,Male,No,Yes,No,E-service,No,0,35,22.75,878.9246890975821,0.9076560960914666,0.09234390390853342,246.31034728832367,False,False,False
17,Zone 3,60,57,Unmarried,38,162,High school degree,No,Male,No,No,Yes,Plus service,No,0,45,29.25,1351.1056383539158,0.988468769277791,0.011531230722208963,331.43313635050146,True,False,False
18,Zone 3,34,48,Unmarried,3,49,High school degree,No,Female,No,No,Yes,Plus service,No,0,45,29.25,1160.2537390307948,0.9198920280614518,0.08010797193854824,318.9514673973533,True,False,False
